                                     | Core 0    
  Instructions                       |  249999891
  Cycles                             |  142673860
  IPC                                |       1.75
  Time (ns)                          |   41962900
  Idle time (ns)                     |        -35
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   38184247
  num incorrect                      |    1791370
  misprediction rate                 |      4.48%
  mpki                               |       7.17
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   36710723
    num misses                       |     123319
    miss rate                        |      0.34%
    mpki                             |       0.49
  D-TLB                              |           
    num accesses                     |  105646925
    num misses                       |     159720
    miss rate                        |      0.15%
    mpki                             |       0.64
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   36710723
    num cache misses                 |      32757
    miss rate                        |      0.09%
    mpki                             |       0.13
  Cache L1-D                         |           
    num cache accesses               |  105646925
    num cache misses                 |     395038
    miss rate                        |      0.37%
    mpki                             |       1.58
  Cache L2                           |           
    num cache accesses               |     446776
    num cache misses                 |     105708
    miss rate                        |     23.66%
    mpki                             |       0.42
DRAM summary                         |           
  num dram accesses                  |     212566
  average dram access latency (ns)   |      87.73
  average dram queueing delay        |      18.92
  average dram bandwidth utilization |      5.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
