                                     | Core 0    
  Instructions                       |  249999894
  Cycles                             |  638119820
  IPC                                |       0.39
  Time (ns)                          |  187682300
  Idle time (ns)                     |        -79
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   42008435
  num incorrect                      |    2896377
  misprediction rate                 |      6.45%
  mpki                               |      11.59
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   29986525
    num misses                       |         99
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   93100359
    num misses                       |    1217666
    miss rate                        |      1.31%
    mpki                             |       4.87
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   29986525
    num cache misses                 |        773
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |   93100359
    num cache misses                 |   12700826
    miss rate                        |     13.64%
    mpki                             |      50.80
  Cache L2                           |           
    num cache accesses               |   14604340
    num cache misses                 |    2487011
    miss rate                        |     17.03%
    mpki                             |       9.95
DRAM summary                         |           
  num dram accesses                  |   12026501
  average dram access latency (ns)   |    3930.16
  average dram queueing delay        |    3861.35
  average dram bandwidth utilization |     64.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
