                                     | Core 0    
  Instructions                       |  249999898
  Cycles                             |  415319520
  IPC                                |       0.60
  Time (ns)                          |  122152800
  Idle time (ns)                     |         -8
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   35051826
  num incorrect                      |     650923
  misprediction rate                 |      1.82%
  mpki                               |       2.60
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   40762066
    num misses                       |         56
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   83950430
    num misses                       |    4462114
    miss rate                        |      5.32%
    mpki                             |      17.85
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   40762066
    num cache misses                 |        379
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |   83950430
    num cache misses                 |   14334312
    miss rate                        |     17.07%
    mpki                             |      57.34
  Cache L2                           |           
    num cache accesses               |   14444694
    num cache misses                 |     148984
    miss rate                        |      1.03%
    mpki                             |       0.60
DRAM summary                         |           
  num dram accesses                  |     543356
  average dram access latency (ns)   |   63042.22
  average dram queueing delay        |   62973.41
  average dram bandwidth utilization |      4.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
