                                     | Core 0    
  Instructions                       |  249999875
  Cycles                             |  408448460
  IPC                                |       0.61
  Time (ns)                          |  120131900
  Idle time (ns)                     |        -72
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   38085618
  num incorrect                      |    4087985
  misprediction rate                 |      9.69%
  mpki                               |      16.35
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   28363665
    num misses                       |        135
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   82660896
    num misses                       |    1548516
    miss rate                        |      1.87%
    mpki                             |       6.19
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   28363665
    num cache misses                 |        823
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |   82660896
    num cache misses                 |    9945067
    miss rate                        |     12.03%
    mpki                             |      39.78
  Cache L2                           |           
    num cache accesses               |   10747255
    num cache misses                 |    2285003
    miss rate                        |     21.26%
    mpki                             |       9.14
DRAM summary                         |           
  num dram accesses                  |    8432052
  average dram access latency (ns)   |    1770.45
  average dram queueing delay        |    1706.65
  average dram bandwidth utilization |     35.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
