                                     | Core 0    
  Instructions                       |  249999890
  Cycles                             |  128154840
  IPC                                |       1.95
  Time (ns)                          |   37692600
  Idle time (ns)                     |        -56
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   38286194
  num incorrect                      |    1885091
  misprediction rate                 |      4.69%
  mpki                               |       7.54
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   35894611
    num misses                       |      58232
    miss rate                        |      0.16%
    mpki                             |       0.23
  D-TLB                              |           
    num accesses                     |  102700174
    num misses                       |      67754
    miss rate                        |      0.07%
    mpki                             |       0.27
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   35894611
    num cache misses                 |      18056
    miss rate                        |      0.05%
    mpki                             |       0.07
  Cache L1-D                         |           
    num cache accesses               |  102700174
    num cache misses                 |     171436
    miss rate                        |      0.17%
    mpki                             |       0.69
  Cache L2                           |           
    num cache accesses               |     199186
    num cache misses                 |      59218
    miss rate                        |     29.73%
    mpki                             |       0.24
DRAM summary                         |           
  num dram accesses                  |     129515
  average dram access latency (ns)   |      95.83
  average dram queueing delay        |      27.02
  average dram bandwidth utilization |      3.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
