                                     | Core 0    
  Instructions                       |  249999891
  Cycles                             |  136774860
  IPC                                |       1.83
  Time (ns)                          |   40227900
  Idle time (ns)                     |        -98
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   38184247
  num incorrect                      |    1791370
  misprediction rate                 |      4.48%
  mpki                               |       7.17
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   36710723
    num misses                       |     123319
    miss rate                        |      0.34%
    mpki                             |       0.49
  D-TLB                              |           
    num accesses                     |  105646925
    num misses                       |     159720
    miss rate                        |      0.15%
    mpki                             |       0.64
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   36710723
    num cache misses                 |      32757
    miss rate                        |      0.09%
    mpki                             |       0.13
  Cache L1-D                         |           
    num cache accesses               |  105646925
    num cache misses                 |     395152
    miss rate                        |      0.37%
    mpki                             |       1.58
  Cache L2                           |           
    num cache accesses               |     447554
    num cache misses                 |      85231
    miss rate                        |     19.04%
    mpki                             |       0.34
DRAM summary                         |           
  num dram accesses                  |     262327
  average dram access latency (ns)   |      72.63
  average dram queueing delay        |       8.83
  average dram bandwidth utilization |      3.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
