                                     | Core 0    
  Instructions                       |  249999901
  Cycles                             |  489297740
  IPC                                |       0.51
  Time (ns)                          |  143911100
  Idle time (ns)                     |        -95
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   41992689
  num incorrect                      |    1985493
  misprediction rate                 |      4.51%
  mpki                               |       7.94
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   36032768
    num misses                       |        270
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   99462425
    num misses                       |    1433658
    miss rate                        |      1.44%
    mpki                             |       5.73
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   36032768
    num cache misses                 |        782
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |   99462425
    num cache misses                 |   11420614
    miss rate                        |     11.48%
    mpki                             |      45.68
  Cache L2                           |           
    num cache accesses               |   11851185
    num cache misses                 |    2469442
    miss rate                        |     20.84%
    mpki                             |       9.88
DRAM summary                         |           
  num dram accesses                  |    8405997
  average dram access latency (ns)   |   12890.07
  average dram queueing delay        |   12821.26
  average dram bandwidth utilization |     58.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
