                                     | Core 0    
  Instructions                       |  249999875
  Cycles                             |  391411400
  IPC                                |       0.64
  Time (ns)                          |  115121000
  Idle time (ns)                     |        -77
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   44032718
  num incorrect                      |    2702060
  misprediction rate                 |      5.78%
  mpki                               |      10.81
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   28230440
    num misses                       |        100
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   92425895
    num misses                       |    1108709
    miss rate                        |      1.20%
    mpki                             |       4.43
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   28230440
    num cache misses                 |        792
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |   92425895
    num cache misses                 |   11479720
    miss rate                        |     12.42%
    mpki                             |      45.92
  Cache L2                           |           
    num cache accesses               |   12977839
    num cache misses                 |    2174965
    miss rate                        |     16.76%
    mpki                             |       8.70
DRAM summary                         |           
  num dram accesses                  |   10862113
  average dram access latency (ns)   |    1846.42
  average dram queueing delay        |    1782.61
  average dram bandwidth utilization |     47.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
