                                     | Core 0     
  Instructions                       |   249999925
  Cycles                             |   370352820
  IPC                                |        0.68
  Time (ns)                          |   108927300
  Idle time (ns)                     |         -58
  Idle time (%)                      |       -0.0%
Branch predictor stats               |            
  num correct                        |    42464403
  num incorrect                      |      327696
  misprediction rate                 |       0.77%
  mpki                               |        1.31
TLB Summary                          |            
  I-TLB                              |            
    num accesses                     |    33554609
    num misses                       |           4
    miss rate                        |       0.00%
    mpki                             |        0.00
  D-TLB                              |            
    num accesses                     |    71029512
    num misses                       |      101658
    miss rate                        |       0.14%
    mpki                             |        0.41
Cache Summary                        |            
  Cache L1-I                         |            
    num cache accesses               |    33554609
    num cache misses                 |          16
    miss rate                        |       0.00%
    mpki                             |        0.00
  Cache L1-D                         |            
    num cache accesses               |    71029512
    num cache misses                 |     6503789
    miss rate                        |       9.16%
    mpki                             |       26.02
  Cache L2                           |            
    num cache accesses               |     9075369
    num cache misses                 |         147
    miss rate                        |       0.00%
    mpki                             |        0.00
DRAM summary                         |            
  num dram accesses                  |     9042803
  average dram access latency (ns)   |  -303158.07
  average dram queueing delay        |  -303226.88
  average dram bandwidth utilization |      83.00%
Coherency Traffic                    |            
  num loads from dram                |           0
  num loads from dram cache          |           0
  num loads from remote cache        |           0
