                                     | Core 0    
  Instructions                       |  249999889
  Cycles                             |  170136680
  IPC                                |       1.47
  Time (ns)                          |   50040200
  Idle time (ns)                     |        -10
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   37075739
  num incorrect                      |    1851499
  misprediction rate                 |      4.76%
  mpki                               |       7.41
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   38089408
    num misses                       |     310688
    miss rate                        |      0.82%
    mpki                             |       1.24
  D-TLB                              |           
    num accesses                     |  111910989
    num misses                       |     351398
    miss rate                        |      0.31%
    mpki                             |       1.41
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   38089408
    num cache misses                 |      75621
    miss rate                        |      0.20%
    mpki                             |       0.30
  Cache L1-D                         |           
    num cache accesses               |  111910989
    num cache misses                 |     999453
    miss rate                        |      0.89%
    mpki                             |       4.00
  Cache L2                           |           
    num cache accesses               |    1110347
    num cache misses                 |     142390
    miss rate                        |     12.82%
    mpki                             |       0.57
DRAM summary                         |           
  num dram accesses                  |     412242
  average dram access latency (ns)   |      89.73
  average dram queueing delay        |      20.92
  average dram bandwidth utilization |      8.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
