                                     | Core 0    
  Instructions                       |  249999886
  Cycles                             |  641032260
  IPC                                |       0.39
  Time (ns)                          |  188538900
  Idle time (ns)                     |         -8
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   38547709
  num incorrect                      |    3624310
  misprediction rate                 |      8.59%
  mpki                               |      14.50
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   31413332
    num misses                       |         98
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   95263591
    num misses                       |    1226199
    miss rate                        |      1.29%
    mpki                             |       4.90
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   31413332
    num cache misses                 |        803
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |   95263591
    num cache misses                 |   12965977
    miss rate                        |     13.61%
    mpki                             |      51.86
  Cache L2                           |           
    num cache accesses               |   14844819
    num cache misses                 |    2632762
    miss rate                        |     17.74%
    mpki                             |      10.53
DRAM summary                         |           
  num dram accesses                  |   11967818
  average dram access latency (ns)   |    6311.01
  average dram queueing delay        |    6242.20
  average dram bandwidth utilization |     63.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
