                                     | Core 0    
  Instructions                       |  249999885
  Cycles                             |  444062780
  IPC                                |       0.56
  Time (ns)                          |  130606700
  Idle time (ns)                     |        -71
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   38547709
  num incorrect                      |    3624310
  misprediction rate                 |      8.59%
  mpki                               |      14.50
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   31413332
    num misses                       |         98
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   95263591
    num misses                       |    1226199
    miss rate                        |      1.29%
    mpki                             |       4.90
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   31413332
    num cache misses                 |        803
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |   95263591
    num cache misses                 |   12965977
    miss rate                        |     13.61%
    mpki                             |      51.86
  Cache L2                           |           
    num cache accesses               |   14889748
    num cache misses                 |    2425312
    miss rate                        |     16.29%
    mpki                             |       9.70
DRAM summary                         |           
  num dram accesses                  |   12102699
  average dram access latency (ns)   |    2325.28
  average dram queueing delay        |    2261.48
  average dram bandwidth utilization |     46.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
