                                     | Core 0    
  Instructions                       |  249999882
  Cycles                             |  156890960
  IPC                                |       1.59
  Time (ns)                          |   46144400
  Idle time (ns)                     |        -13
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   34020681
  num incorrect                      |    1546397
  misprediction rate                 |      4.35%
  mpki                               |       6.19
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   43904334
    num misses                       |    1552236
    miss rate                        |      3.54%
    mpki                             |       6.21
  D-TLB                              |           
    num accesses                     |  134127329
    num misses                       |     201226
    miss rate                        |      0.15%
    mpki                             |       0.80
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   43904334
    num cache misses                 |      34347
    miss rate                        |      0.08%
    mpki                             |       0.14
  Cache L1-D                         |           
    num cache accesses               |  134127329
    num cache misses                 |     617089
    miss rate                        |      0.46%
    mpki                             |       2.47
  Cache L2                           |           
    num cache accesses               |     652164
    num cache misses                 |     176096
    miss rate                        |     27.00%
    mpki                             |       0.70
DRAM summary                         |           
  num dram accesses                  |     295395
  average dram access latency (ns)   |      74.81
  average dram queueing delay        |      11.01
  average dram bandwidth utilization |      3.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
