                                     | Core 0    
  Instructions                       |  249999890
  Cycles                             |  149276320
  IPC                                |       1.67
  Time (ns)                          |   43904800
  Idle time (ns)                     |        -76
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   37802967
  num incorrect                      |    1921051
  misprediction rate                 |      4.84%
  mpki                               |       7.68
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   36815180
    num misses                       |     162378
    miss rate                        |      0.44%
    mpki                             |       0.65
  D-TLB                              |           
    num accesses                     |  106808252
    num misses                       |     192830
    miss rate                        |      0.18%
    mpki                             |       0.77
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   36815180
    num cache misses                 |      46354
    miss rate                        |      0.13%
    mpki                             |       0.19
  Cache L1-D                         |           
    num cache accesses               |  106808252
    num cache misses                 |     534132
    miss rate                        |      0.50%
    mpki                             |       2.14
  Cache L2                           |           
    num cache accesses               |     600972
    num cache misses                 |     115090
    miss rate                        |     19.15%
    mpki                             |       0.46
DRAM summary                         |           
  num dram accesses                  |     236189
  average dram access latency (ns)   |      88.73
  average dram queueing delay        |      19.92
  average dram bandwidth utilization |      5.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
