                                     | Core 0    
  Instructions                       |  249999901
  Cycles                             |  543380520
  IPC                                |       0.46
  Time (ns)                          |  159817800
  Idle time (ns)                     |        -34
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   44997190
  num incorrect                      |    3680059
  misprediction rate                 |      7.56%
  mpki                               |      14.72
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   26464038
    num misses                       |        110
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   86877892
    num misses                       |     784703
    miss rate                        |      0.90%
    mpki                             |       3.14
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   26464038
    num cache misses                 |        824
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |   86877892
    num cache misses                 |    9173717
    miss rate                        |     10.56%
    mpki                             |      36.69
  Cache L2                           |           
    num cache accesses               |   10142984
    num cache misses                 |    2393366
    miss rate                        |     23.60%
    mpki                             |       9.57
DRAM summary                         |           
  num dram accesses                  |    8971428
  average dram access latency (ns)   |    4849.35
  average dram queueing delay        |    4780.54
  average dram bandwidth utilization |     56.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
