                                     | Core 0     
  Instructions                       |   249999888
  Cycles                             |   428490780
  IPC                                |        0.58
  Time (ns)                          |   126026700
  Idle time (ns)                     |        -100
  Idle time (%)                      |       -0.0%
Branch predictor stats               |            
  num correct                        |    40116829
  num incorrect                      |      606601
  misprediction rate                 |       1.49%
  mpki                               |        2.43
TLB Summary                          |            
  I-TLB                              |            
    num accesses                     |    30237745
    num misses                       |           4
    miss rate                        |       0.00%
    mpki                             |        0.00
  D-TLB                              |            
    num accesses                     |    79042364
    num misses                       |      100056
    miss rate                        |       0.13%
    mpki                             |        0.40
Cache Summary                        |            
  Cache L1-I                         |            
    num cache accesses               |    30237745
    num cache misses                 |          17
    miss rate                        |       0.00%
    mpki                             |        0.00
  Cache L1-D                         |            
    num cache accesses               |    79042364
    num cache misses                 |     6401233
    miss rate                        |       8.10%
    mpki                             |       25.60
  Cache L2                           |            
    num cache accesses               |    10024751
    num cache misses                 |         152
    miss rate                        |       0.00%
    mpki                             |        0.00
DRAM summary                         |            
  num dram accesses                  |    10024932
  average dram access latency (ns)   |  -415959.94
  average dram queueing delay        |  -416028.75
  average dram bandwidth utilization |      79.00%
Coherency Traffic                    |            
  num loads from dram                |           0
  num loads from dram cache          |           0
  num loads from remote cache        |           0
