                                     | Core 0    
  Instructions                       |  249999886
  Cycles                             |  146562780
  IPC                                |       1.71
  Time (ns)                          |   43106700
  Idle time (ns)                     |        -85
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   37577849
  num incorrect                      |    1883489
  misprediction rate                 |      4.77%
  mpki                               |       7.53
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   37095491
    num misses                       |     174677
    miss rate                        |      0.47%
    mpki                             |       0.70
  D-TLB                              |           
    num accesses                     |  107166184
    num misses                       |     227517
    miss rate                        |      0.21%
    mpki                             |       0.91
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   37095491
    num cache misses                 |      50099
    miss rate                        |      0.14%
    mpki                             |       0.20
  Cache L1-D                         |           
    num cache accesses               |  107166184
    num cache misses                 |     576315
    miss rate                        |      0.54%
    mpki                             |       2.31
  Cache L2                           |           
    num cache accesses               |     655693
    num cache misses                 |     103840
    miss rate                        |     15.84%
    mpki                             |       0.42
DRAM summary                         |           
  num dram accesses                  |     404353
  average dram access latency (ns)   |      74.11
  average dram queueing delay        |      10.31
  average dram bandwidth utilization |      4.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
