                                     | Core 0    
  Instructions                       |  249999898
  Cycles                             |  598775700
  IPC                                |       0.42
  Time (ns)                          |  176110500
  Idle time (ns)                     |        -50
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   41844459
  num incorrect                      |    2744234
  misprediction rate                 |      6.15%
  mpki                               |      10.98
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   29643092
    num misses                       |        113
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   95063969
    num misses                       |    1116726
    miss rate                        |      1.17%
    mpki                             |       4.47
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   29643092
    num cache misses                 |        803
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |   95063969
    num cache misses                 |   11830333
    miss rate                        |     12.44%
    mpki                             |      47.32
  Cache L2                           |           
    num cache accesses               |   13472298
    num cache misses                 |    2495899
    miss rate                        |     18.53%
    mpki                             |       9.98
DRAM summary                         |           
  num dram accesses                  |   11189460
  average dram access latency (ns)   |    4748.63
  average dram queueing delay        |    4679.82
  average dram bandwidth utilization |     63.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
