                                     | Core 0    
  Instructions                       |  249999876
  Cycles                             |  564180020
  IPC                                |       0.44
  Time (ns)                          |  165935300
  Idle time (ns)                     |        -16
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   44387462
  num incorrect                      |    4169590
  misprediction rate                 |      8.59%
  mpki                               |      16.68
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   27431423
    num misses                       |        100
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   84741858
    num misses                       |     831668
    miss rate                        |      0.98%
    mpki                             |       3.33
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   27431423
    num cache misses                 |        829
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |   84741858
    num cache misses                 |    9547178
    miss rate                        |     11.27%
    mpki                             |      38.19
  Cache L2                           |           
    num cache accesses               |   10644963
    num cache misses                 |    2312700
    miss rate                        |     21.73%
    mpki                             |       9.25
DRAM summary                         |           
  num dram accesses                  |    9445199
  average dram access latency (ns)   |    6297.86
  average dram queueing delay        |    6229.05
  average dram bandwidth utilization |     56.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
