                                     | Core 0     
  Instructions                       |   249999888
  Cycles                             |   363202960
  IPC                                |        0.69
  Time (ns)                          |   106824400
  Idle time (ns)                     |         -97
  Idle time (%)                      |       -0.0%
Branch predictor stats               |            
  num correct                        |    42321305
  num incorrect                      |      641889
  misprediction rate                 |       1.49%
  mpki                               |        2.57
TLB Summary                          |            
  I-TLB                              |            
    num accesses                     |    34574657
    num misses                       |           4
    miss rate                        |       0.00%
    mpki                             |        0.00
  D-TLB                              |            
    num accesses                     |    68875348
    num misses                       |      100334
    miss rate                        |       0.15%
    mpki                             |        0.40
Cache Summary                        |            
  Cache L1-I                         |            
    num cache accesses               |    34574657
    num cache misses                 |          16
    miss rate                        |       0.00%
    mpki                             |        0.00
  Cache L1-D                         |            
    num cache accesses               |    68875348
    num cache misses                 |     6419056
    miss rate                        |       9.32%
    mpki                             |       25.68
  Cache L2                           |            
    num cache accesses               |     8851338
    num cache misses                 |         155
    miss rate                        |       0.00%
    mpki                             |        0.00
DRAM summary                         |            
  num dram accesses                  |     8844557
  average dram access latency (ns)   |  -346861.13
  average dram queueing delay        |  -346929.94
  average dram bandwidth utilization |      82.00%
Coherency Traffic                    |            
  num loads from dram                |           0
  num loads from dram cache          |           0
  num loads from remote cache        |           0
