                                     | Core 0    
  Instructions                       |  249999892
  Cycles                             |  175766060
  IPC                                |       1.42
  Time (ns)                          |   51695900
  Idle time (ns)                     |        -42
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   36544827
  num incorrect                      |    1776132
  misprediction rate                 |      4.63%
  mpki                               |       7.10
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   39345757
    num misses                       |     834764
    miss rate                        |      2.12%
    mpki                             |       3.34
  D-TLB                              |           
    num accesses                     |  120826738
    num misses                       |     562866
    miss rate                        |      0.47%
    mpki                             |       2.25
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   39345757
    num cache misses                 |      89277
    miss rate                        |      0.23%
    mpki                             |       0.36
  Cache L1-D                         |           
    num cache accesses               |  120826738
    num cache misses                 |    2195480
    miss rate                        |      1.82%
    mpki                             |       8.78
  Cache L2                           |           
    num cache accesses               |    2312287
    num cache misses                 |      95524
    miss rate                        |      4.13%
    mpki                             |       0.38
DRAM summary                         |           
  num dram accesses                  |     226582
  average dram access latency (ns)   |     424.73
  average dram queueing delay        |     355.92
  average dram bandwidth utilization |      4.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
