                                     | Core 0    
  Instructions                       |  249999882
  Cycles                             |  159177120
  IPC                                |       1.57
  Time (ns)                          |   46816800
  Idle time (ns)                     |        -18
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   34020681
  num incorrect                      |    1546397
  misprediction rate                 |      4.35%
  mpki                               |       6.19
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   43904334
    num misses                       |    1552236
    miss rate                        |      3.54%
    mpki                             |       6.21
  D-TLB                              |           
    num accesses                     |  134127329
    num misses                       |     201226
    miss rate                        |      0.15%
    mpki                             |       0.80
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   43904334
    num cache misses                 |      34347
    miss rate                        |      0.08%
    mpki                             |       0.14
  Cache L1-D                         |           
    num cache accesses               |  134127329
    num cache misses                 |     617022
    miss rate                        |      0.46%
    mpki                             |       2.47
  Cache L2                           |           
    num cache accesses               |     652033
    num cache misses                 |     179007
    miss rate                        |     27.45%
    mpki                             |       0.72
DRAM summary                         |           
  num dram accesses                  |     266914
  average dram access latency (ns)   |     100.87
  average dram queueing delay        |      32.07
  average dram bandwidth utilization |      5.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
