                                     | Core 0    
  Instructions                       |  249999884
  Cycles                             |  160703040
  IPC                                |       1.56
  Time (ns)                          |   47265600
  Idle time (ns)                     |        -71
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   29546561
  num incorrect                      |    1461667
  misprediction rate                 |      4.71%
  mpki                               |       5.85
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   39551269
    num misses                       |    1310458
    miss rate                        |      3.31%
    mpki                             |       5.24
  D-TLB                              |           
    num accesses                     |  123585155
    num misses                       |     171065
    miss rate                        |      0.14%
    mpki                             |       0.68
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   39551269
    num cache misses                 |      34826
    miss rate                        |      0.09%
    mpki                             |       0.14
  Cache L1-D                         |           
    num cache accesses               |  123585155
    num cache misses                 |     608078
    miss rate                        |      0.49%
    mpki                             |       2.43
  Cache L2                           |           
    num cache accesses               |     648684
    num cache misses                 |     185545
    miss rate                        |     28.60%
    mpki                             |       0.74
DRAM summary                         |           
  num dram accesses                  |     387431
  average dram access latency (ns)   |      73.51
  average dram queueing delay        |       9.71
  average dram bandwidth utilization |      4.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
