                                     | Core 0    
  Instructions                       |  249999886
  Cycles                             |  154521840
  IPC                                |       1.62
  Time (ns)                          |   45447600
  Idle time (ns)                     |        -11
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   37577849
  num incorrect                      |    1883489
  misprediction rate                 |      4.77%
  mpki                               |       7.53
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   37095491
    num misses                       |     174677
    miss rate                        |      0.47%
    mpki                             |       0.70
  D-TLB                              |           
    num accesses                     |  107166184
    num misses                       |     227517
    miss rate                        |      0.21%
    mpki                             |       0.91
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   37095491
    num cache misses                 |      50099
    miss rate                        |      0.14%
    mpki                             |       0.20
  Cache L1-D                         |           
    num cache accesses               |  107166184
    num cache misses                 |     576168
    miss rate                        |      0.54%
    mpki                             |       2.30
  Cache L2                           |           
    num cache accesses               |     654548
    num cache misses                 |     122469
    miss rate                        |     18.71%
    mpki                             |       0.49
DRAM summary                         |           
  num dram accesses                  |     331331
  average dram access latency (ns)   |      94.52
  average dram queueing delay        |      25.71
  average dram bandwidth utilization |      7.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
