                                     | Core 0    
  Instructions                       |  249999881
  Cycles                             |  124024180
  IPC                                |       2.02
  Time (ns)                          |   36477700
  Idle time (ns)                     |        -59
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   38125152
  num incorrect                      |    1495101
  misprediction rate                 |      3.77%
  mpki                               |       5.98
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   37124819
    num misses                       |     142797
    miss rate                        |      0.38%
    mpki                             |       0.57
  D-TLB                              |           
    num accesses                     |  107823309
    num misses                       |     160665
    miss rate                        |      0.15%
    mpki                             |       0.64
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   37124819
    num cache misses                 |      19717
    miss rate                        |      0.05%
    mpki                             |       0.08
  Cache L1-D                         |           
    num cache accesses               |  107823309
    num cache misses                 |     493379
    miss rate                        |      0.46%
    mpki                             |       1.97
  Cache L2                           |           
    num cache accesses               |     518371
    num cache misses                 |      32840
    miss rate                        |      6.34%
    mpki                             |       0.13
DRAM summary                         |           
  num dram accesses                  |      65534
  average dram access latency (ns)   |     121.92
  average dram queueing delay        |      53.11
  average dram bandwidth utilization |      1.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
