                                     | Core 0    
  Instructions                       |  249999891
  Cycles                             |  682070600
  IPC                                |       0.37
  Time (ns)                          |  200609000
  Idle time (ns)                     |        -15
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   39822023
  num incorrect                      |    3148125
  misprediction rate                 |      7.33%
  mpki                               |      12.59
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   30411018
    num misses                       |         84
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   94645325
    num misses                       |    1096711
    miss rate                        |      1.16%
    mpki                             |       4.39
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   30411018
    num cache misses                 |        821
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |   94645325
    num cache misses                 |   13642524
    miss rate                        |     14.41%
    mpki                             |      54.57
  Cache L2                           |           
    num cache accesses               |   15547385
    num cache misses                 |    2525856
    miss rate                        |     16.25%
    mpki                             |      10.10
DRAM summary                         |           
  num dram accesses                  |   13524650
  average dram access latency (ns)   |    5344.81
  average dram queueing delay        |    5276.00
  average dram bandwidth utilization |     67.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
