                                     | Core 0    
  Instructions                       |  249999891
  Cycles                             |  447100340
  IPC                                |       0.56
  Time (ns)                          |  131500100
  Idle time (ns)                     |        -71
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   39822023
  num incorrect                      |    3148125
  misprediction rate                 |      7.33%
  mpki                               |      12.59
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   30411018
    num misses                       |         84
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   94645325
    num misses                       |    1096711
    miss rate                        |      1.16%
    mpki                             |       4.39
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   30411018
    num cache misses                 |        821
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |   94645325
    num cache misses                 |   13642525
    miss rate                        |     14.41%
    mpki                             |      54.57
  Cache L2                           |           
    num cache accesses               |   15528763
    num cache misses                 |    2508033
    miss rate                        |     16.15%
    mpki                             |      10.03
DRAM summary                         |           
  num dram accesses                  |   13483023
  average dram access latency (ns)   |    2026.02
  average dram queueing delay        |    1962.21
  average dram bandwidth utilization |     51.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
