                                     | Core 0    
  Instructions                       |  249999896
  Cycles                             |  544014620
  IPC                                |       0.46
  Time (ns)                          |  160004300
  Idle time (ns)                     |        -55
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   43408501
  num incorrect                      |    3954586
  misprediction rate                 |      8.35%
  mpki                               |      15.82
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   27063033
    num misses                       |        134
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   87630379
    num misses                       |     921289
    miss rate                        |      1.05%
    mpki                             |       3.69
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   27063033
    num cache misses                 |        803
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |   87630379
    num cache misses                 |    9553106
    miss rate                        |     10.90%
    mpki                             |      38.21
  Cache L2                           |           
    num cache accesses               |   10565186
    num cache misses                 |    2290282
    miss rate                        |     21.68%
    mpki                             |       9.16
DRAM summary                         |           
  num dram accesses                  |    9025207
  average dram access latency (ns)   |    6881.82
  average dram queueing delay        |    6813.01
  average dram bandwidth utilization |     56.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
