                                     | Core 0    
  Instructions                       |  249999876
  Cycles                             |  398729900
  IPC                                |       0.63
  Time (ns)                          |  117273500
  Idle time (ns)                     |        -96
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   44387462
  num incorrect                      |    4169590
  misprediction rate                 |      8.59%
  mpki                               |      16.68
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   27431423
    num misses                       |        100
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   84741858
    num misses                       |     831668
    miss rate                        |      0.98%
    mpki                             |       3.33
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   27431423
    num cache misses                 |        829
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |   84741858
    num cache misses                 |    9547184
    miss rate                        |     11.27%
    mpki                             |      38.19
  Cache L2                           |           
    num cache accesses               |   10660124
    num cache misses                 |    2084443
    miss rate                        |     19.55%
    mpki                             |       8.34
DRAM summary                         |           
  num dram accesses                  |    9800029
  average dram access latency (ns)   |    2426.25
  average dram queueing delay        |    2362.45
  average dram bandwidth utilization |     41.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
