                                     | Core 0    
  Instructions                       |  249999881
  Cycles                             |  432421860
  IPC                                |       0.58
  Time (ns)                          |  127182900
  Idle time (ns)                     |        -35
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   31669388
  num incorrect                      |    3881388
  misprediction rate                 |     10.92%
  mpki                               |      15.53
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   28984925
    num misses                       |        163
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   77698664
    num misses                       |    2169175
    miss rate                        |      2.79%
    mpki                             |       8.68
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   28984925
    num cache misses                 |        792
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |   77698664
    num cache misses                 |   11226567
    miss rate                        |     14.45%
    mpki                             |      44.91
  Cache L2                           |           
    num cache accesses               |   11951508
    num cache misses                 |    2612238
    miss rate                        |     21.86%
    mpki                             |      10.45
DRAM summary                         |           
  num dram accesses                  |    9834173
  average dram access latency (ns)   |    1826.08
  average dram queueing delay        |    1762.27
  average dram bandwidth utilization |     38.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
