                                     | Core 0    
  Instructions                       |  249999890
  Cycles                             |  142646320
  IPC                                |       1.75
  Time (ns)                          |   41954800
  Idle time (ns)                     |        -22
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   37802967
  num incorrect                      |    1921051
  misprediction rate                 |      4.84%
  mpki                               |       7.68
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   36815180
    num misses                       |     162378
    miss rate                        |      0.44%
    mpki                             |       0.65
  D-TLB                              |           
    num accesses                     |  106808252
    num misses                       |     192830
    miss rate                        |      0.18%
    mpki                             |       0.77
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   36815180
    num cache misses                 |      46354
    miss rate                        |      0.13%
    mpki                             |       0.19
  Cache L1-D                         |           
    num cache accesses               |  106808252
    num cache misses                 |     534219
    miss rate                        |      0.50%
    mpki                             |       2.14
  Cache L2                           |           
    num cache accesses               |     602110
    num cache misses                 |      92107
    miss rate                        |     15.30%
    mpki                             |       0.37
DRAM summary                         |           
  num dram accesses                  |     298627
  average dram access latency (ns)   |      72.64
  average dram queueing delay        |       8.83
  average dram bandwidth utilization |      3.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
